Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
FOREX_eursgd-day-High,LogisticRegression,0.7384196185286104,0.7275204359673024,0.7404371584699454,0.7295081967213115,0.7131147540983607,0.729800032757106,0.009706966117370795,1.0878691673278809,0.007763385772705078
FOREX_eursgd-day-High,Perceptron,0.5313351498637602,0.6757493188010899,0.5655737704918032,0.6530054644808743,0.6202185792349727,0.6091764565745001,0.05373140544599244,0.015016555786132812,0.0072171688079833984
FOREX_eursgd-day-High,MLP,0.5940054495912807,0.5858310626702997,0.6366120218579235,0.5409836065573771,0.5300546448087432,0.5774973570971248,0.038524216497976105,1.0843136310577393,0.00885772705078125
Higgs_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.63,0.5475,0.6075,0.6025,0.57,0.5915,0.029180472922829766,0.14980292320251465,0.00847935676574707
Higgs_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.5825,0.605,0.6025,0.6025,0.5775,0.5940000000000001,0.011575836902790225,0.40925025939941406,0.1755204200744629
Higgs_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.5025,0.5575,0.5275,0.525,0.5,0.5225,0.02079663434308543,0.008278846740722656,0.05595088005065918
Higgs_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,LogisticRegression,0.5975,0.605,0.62,0.6125,0.605,0.6080000000000001,0.007648529270389176,0.0596010684967041,0.006536960601806641
Higgs_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,Perceptron,0.515,0.5375,0.5025,0.6025,0.5725,0.5459999999999999,0.0369323706252388,0.014413833618164062,0.006501674652099609
Higgs_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,MLP,0.5325,0.615,0.5775,0.6,0.595,0.584,0.028398943642325855,17.980090856552124,0.009693145751953125
ar4,DecisionTree,0.7727272727272727,0.7272727272727273,0.9047619047619048,0.7619047619047619,0.9047619047619048,0.8142857142857143,0.07538436208152464,0.009623527526855469,0.006166696548461914
ar4,SVM,0.8636363636363636,0.8636363636363636,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.8502164502164501,0.02055251510037959,0.00952291488647461,0.006722211837768555
ar4,KNN,0.8181818181818182,0.8636363636363636,0.8571428571428571,0.8095238095238095,0.8571428571428571,0.841125541125541,0.022560717265446527,0.0059969425201416016,0.022399187088012695
ar4,LogisticRegression,0.8636363636363636,0.7727272727272727,0.9047619047619048,0.6666666666666666,0.8095238095238095,0.8034632034632034,0.08194749166823881,0.9101414680480957,0.008068561553955078
ar4,Perceptron,0.5454545454545454,0.18181818181818182,0.3333333333333333,0.19047619047619047,0.23809523809523808,0.29783549783549784,0.13500387120017057,0.009069681167602539,0.006193637847900391
ar4,MLP,0.18181818181818182,0.18181818181818182,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.18701298701298702,0.004241540680144024,0.038667917251586914,0.007009267807006836
